year,electricity_generation,renewables_electricity,fossil_electricity,coal_electricity,gas_electricity,nuclear_electricity,oil_electricity,hydro_electricity,solar_electricity,wind_electricity,greenhouse_gas_emissions,population,gdp,electricity_demand,electricity_demand_per_capita,date,renewables_share,fossil_share,per_capita_electricity
1900,,,,,,,,,,,,18592411.0,49615605760.0,,,1900-01-01,,,
1901,,,,,,,,,,,,18701066.0,53765017600.0,,,1901-01-01,,,
1902,,,,,,,,,,,,18818864.0,51405967360.0,,,1902-01-01,,,
1903,,,,,,,,,,,,18945905.0,51248050176.0,,,1903-01-01,,,
1904,,,,,,,,,,,,19073803.0,50617352192.0,,,1904-01-01,,,
1905,,,,,,,,,,,,19202565.0,50106904576.0,,,1905-01-01,,,
1906,,,,,,,,,,,,19332196.0,53523443712.0,,,1906-01-01,,,
1907,,,,,,,,,,,,19462702.0,54929883136.0,,,1907-01-01,,,
1908,,,,,,,,,,,,19594089.0,57047126016.0,,,1908-01-01,,,
1909,,,,,,,,,,,,19726214.0,58655313920.0,,,1909-01-01,,,
1910,,,,,,,,,,,,19859082.0,55984922624.0,,,1910-01-01,,,
1911,,,,,,,,,,,,19992695.0,60455092224.0,,,1911-01-01,,,
1912,,,,,,,,,,,,20127058.0,58594254848.0,,,1912-01-01,,,
1913,,,,,,,,,,,,20262175.0,62071840768.0,,,1913-01-01,,,
1914,,,,,,,,,,,,20398200.0,60341252096.0,,,1914-01-01,,,
1915,,,,,,,,,,,,20535137.0,60959895552.0,,,1915-01-01,,,
1916,,,,,,,,,,,,20672994.0,63524061184.0,,,1916-01-01,,,
1917,,,,,,,,,,,,20811776.0,62644809728.0,,,1917-01-01,,,
1918,,,,,,,,,,,,20951479.0,62339051520.0,,,1918-01-01,,,
1919,,,,,,,,,,,,21105927.0,63712464896.0,,,1919-01-01,,,
1920,,,,,,,,,,,,21275357.0,68777213952.0,,,1920-01-01,,,
1921,,,,,,,,,,,,21460007.0,71038574592.0,,,1921-01-01,,,
1922,,,,,,,,,,,,21660122.0,74037387264.0,,,1922-01-01,,,
1923,,,,,,,,,,,,21875945.0,74909999104.0,,,1923-01-01,,,
1924,,,,,,,,,,,,22093919.0,77546643456.0,,,1924-01-01,,,
1925,,,,,,,,,,,,22314065.0,82930384896.0,,,1925-01-01,,,
1926,,,,,,,,,,,,22536404.0,82091294720.0,,,1926-01-01,,,
1927,,,,,,,,,,,,22760959.0,89945677824.0,,,1927-01-01,,,
1928,,,,,,,,,,,,22987751.0,89652461568.0,,,1928-01-01,,,
1929,,,,,,,,,,,,23214389.0,96751345664.0,,,1929-01-01,,,
1930,,,,,,,,,,,,23440849.0,91863678976.0,,,1930-01-01,,,
1931,,,,,,,,,,,,23667105.0,89537396736.0,,,1931-01-01,,,
1932,,,,,,,,,,,,23893132.0,92028157952.0,,,1932-01-01,,,
1933,,,,,,,,,,,,24118905.0,88907808768.0,,,1933-01-01,,,
1934,,,,,,,,,,,,24346811.0,91986583552.0,,,1934-01-01,,,
1935,,,,,,,,,,,,24576871.0,93457137664.0,,,1935-01-01,,,
1936,,,,,,,,,,,,24809105.0,71257284608.0,,,1936-01-01,,,
1937,,,,,,,,,,,,25043533.0,66366877696.0,,,1937-01-01,,,
1938,,,,,,,,,,,,25280177.0,66548264960.0,,,1938-01-01,,,
1939,,,,,,,,,,,,25514739.0,73524117504.0,,,1939-01-01,,,
1940,,,,,,,,,,,,25747164.0,81571528704.0,,,1940-01-01,,,
1941,,,,,,,,,,,,25977393.0,82802974720.0,,,1941-01-01,,,
1942,,,,,,,,,,,,26205369.0,88732917760.0,,,1942-01-01,,,
1943,,,,,,,,,,,,26431030.0,93584146432.0,,,1943-01-01,,,
1944,,,,,,,,,,,,26658635.0,97622433792.0,,,1944-01-01,,,
1945,,,,,,,,,,,,26888200.0,89865207808.0,,,1945-01-01,,,
1946,,,,,,,,,,,,27119742.0,93683105792.0,,,1946-01-01,,,
1947,,,,,,,,,,,,27353278.0,95527649280.0,,,1947-01-01,,,
1948,,,,,,,,,,,,27588824.0,95314010112.0,,,1948-01-01,,,
1949,,,,,,,,,,,,27827617.0,94862401536.0,,,1949-01-01,,,
1950,,,,,,,,,,,,28077007.0,97082138624.0,,,1950-01-01,,,
1951,,,,,,,,,,,,28214807.0,107135115264.0,,,1951-01-01,,,
1952,,,,,,,,,,,,28405996.0,117037318144.0,,,1952-01-01,,,
1953,,,,,,,,,,,,28632656.0,116997111808.0,,,1953-01-01,,,
1954,,,,,,,,,,,,28857784.0,125599457280.0,,,1954-01-01,,,
1955,,,,,,,,,,,,29089728.0,130079580160.0,,,1955-01-01,,,
1956,,,,,,,,,,,,29323627.0,140913917952.0,,,1956-01-01,,,
1957,,,,,,,,,,,,29569913.0,146029608960.0,,,1957-01-01,,,
1958,,,,,,,,,,,,29849614.0,155616215040.0,,,1958-01-01,,,
1959,,,,,,,,,,,,30140655.0,154272940032.0,,,1959-01-01,,,
1960,,,,,,,,,,,,30404890.0,154173177856.0,,,1960-01-01,,,
1961,,,,,,,,,,,,30699526.0,172488146944.0,,,1961-01-01,,,
1962,,,,,,,,,,,,31040042.0,189313564672.0,,,1962-01-01,,,
1963,,,,,,,,,,,,31379779.0,208429236224.0,,,1963-01-01,,,
1964,,,,,,,,,,,,31741537.0,220233711616.0,,,1964-01-01,,,
1965,,19.687,,,,0.0,,19.687,0.0,0.0,,32110623.0,237809909760.0,,,1965-01-01,,,
1966,,27.258,,,,0.0,,27.258,0.0,0.0,,32465832.0,255489507328.0,,,1966-01-01,,,
1967,,22.657,,,,0.0,,22.657,0.0,0.0,,32820707.0,269604634624.0,,,1967-01-01,,,
1968,,24.388,,,,0.083,,24.388,0.0,0.0,,33170058.0,285820780544.0,,,1968-01-01,,,
1969,,30.603,,,,0.829,,30.603,0.0,0.0,,33496890.0,312133386240.0,,,1969-01-01,,,
1970,,27.819,,,,0.923,,27.772,0.0,0.0,,33812675.0,321926135808.0,,,1970-01-01,,,
1971,,31.868,,,,2.523,,31.816,0.0,0.0,,34157399.0,338048122880.0,,,1971-01-01,,,
1972,,35.53,,,,4.751,,35.469,0.0,0.0,,34539817.0,372317356032.0,,,1972-01-01,,,
1973,,28.968,,,,6.545,,28.912,0.0,0.0,,34926478.0,405140635648.0,,,1973-01-01,,,
1974,,30.619,,,,7.223,,30.568,0.0,0.0,,35361715.0,435579682816.0,,,1974-01-01,,,
1975,,26.178,,,,7.544,,26.065,0.0,0.0,,35795725.0,448574423040.0,,,1975-01-01,,,
1976,,21.119,,,,7.555,,20.932,0.0,0.0,,36176229.0,469577498624.0,,,1976-01-01,,,
1977,,39.937,,,,6.524,,39.628,0.0,0.0,,36551217.0,485921783808.0,,,1977-01-01,,,
1978,,40.567,,,,7.649,,40.251,0.0,0.0,,36904917.0,500155449344.0,,,1978-01-01,,,
1979,,46.648,,,,6.7,,46.397,0.0,0.0,,37230328.0,508825305088.0,,,1979-01-01,,,
1980,,29.912,,,,5.186,,29.55,0.0,0.0,,37537514.0,525059522560.0,,,1980-01-01,,,
1981,,22.366,,,,9.568,,21.942,0.0,0.0,,37812657.0,524559220736.0,,,1981-01-01,,,
1982,,26.818,,,,8.771,,26.331,0.0,0.0,,38047053.0,533517500416.0,,,1982-01-01,,,
1983,,27.607,,,,10.661,,27.047,0.0,0.0,,38253195.0,543778570240.0,,,1983-01-01,,,
1984,,32.034,,,,23.086,,31.484,0.0,0.0,,38437433.0,549100126208.0,,,1984-01-01,,,
1985,126.562,31.898,64.866,54.605,2.514,28.044,7.747,31.287,0.0,0.0,,38601263.0,566345400320.0,,,1985-01-01,0.2520345759390654,0.5125235062657038,3.278701010378857e-06
1986,128.537,27.032,63.113,54.808,2.118,37.458,6.187,26.494,0.0,0.0,,38735655.0,590018510848.0,,,1986-01-01,0.21030520394905747,0.49101037055478186,3.318312288768578e-06
1987,132.665,27.946,62.656,54.724,1.496,41.271,6.436,27.383,0.0,0.0,,38851959.0,632708988928.0,,,1987-01-01,0.21065088757396452,0.4722873402932198,3.4146283331556072e-06
1988,138.759,35.919,51.373,43.071,1.365,50.466,6.937,35.246,0.0,0.0,,38952207.0,674675687424.0,,,1988-01-01,0.2588588848290922,0.3702318408175326,3.5622885244987525e-06
1989,147.055,19.946,70.158,59.622,1.398,56.126,9.138,19.349,0.006,0.013,,39029506.0,719992455168.0,,,1989-01-01,0.13563632654449015,0.4770868042569107,3.7677904506400876e-06
1990,151.16,26.03,70.86,59.74,1.51,54.27,9.61,25.47,0.01,0.01,,39084924.0,756125007872.0,150.74,3856.73,1990-01-01,0.17220164064567348,0.4687748081503043,3.8674758584665535e-06
1991,154.71,27.81,71.32,58.8,1.36,55.58,11.16,27.25,0.01,0.01,,39201702.0,786757910528.0,154.03,3929.166,1991-01-01,0.17975567190226874,0.4609915325447611,3.946512322347637e-06
1992,156.65,19.6,81.27,64.22,1.71,55.78,15.34,18.92,0.01,0.1,,39420297.0,803260989440.0,157.29,3990.076,1992-01-01,0.12511969358442387,0.5187998723268432,3.97384119150599e-06
1993,155.12,25.13,73.93,62.42,1.2,56.06,10.31,24.42,0.01,0.12,,39651575.0,794221281280.0,156.39,3944.106,1993-01-01,0.16200361010830325,0.4765987622485818,3.91207663251712e-06
1994,160.19,29.06,75.82,61.57,3.24,55.31,11.01,28.24,0.01,0.17,,39858677.0,820138278912.0,162.05,4065.614,1994-01-01,0.18140957612834757,0.47331294088270176,4.018949249118329e-06
1995,165.07,24.38,85.23,65.91,3.75,55.46,15.57,23.08,0.02,0.27,,40052688.0,855020273664.0,169.56,4233.424,1995-01-01,0.14769491730780882,0.5163264069788575,4.121321395457903e-06
1996,173.21,41.25,75.63,53.94,6.79,56.33,14.9,39.79,0.02,0.36,,40237332.0,885027504128.0,174.27,4331.053,1996-01-01,0.23815022227354077,0.43663760752843367,4.304708870856547e-06
1997,189.13,36.97,96.86,62.67,18.17,55.3,16.02,34.75,0.02,0.74,,40423773.0,925901389824.0,186.06,4602.737,1997-01-01,0.19547401258393698,0.5121345106540475,4.6786825168447285e-06
1998,193.39,36.89,97.51,61.58,16.21,58.99,19.72,33.99,0.02,1.35,,40617392.0,976805822464.0,196.79,4844.969,1998-01-01,0.19075443404519365,0.5042142820207871,4.7612608904087195e-06
1999,205.63,27.21,119.57,73.61,19.06,58.85,26.9,22.82,0.03,2.74,,40812809.0,1031651262464.0,211.35,5178.521,1999-01-01,0.13232504984681223,0.5814813013665321,5.038369204138828e-06
2000,220.92,34.49,124.22,79.09,20.18,62.21,24.95,28.26,0.01,4.73,104.04,41019721.0,1094998753280.0,225.36,5493.943,2000-01-01,0.15611986239362666,0.562284990041644,5.385702160187779e-06
2001,233.07,49.3,120.06,70.27,23.36,63.71,26.43,40.89,0.02,6.76,98.48,41245551.0,1147959115776.0,236.52,5734.437,2001-01-01,0.21152443471918309,0.5151242116102459,5.650791281706965e-06
2002,239.91,33.17,143.72,81.18,32.39,63.02,30.15,21.22,0.02,9.34,115.62,41755656.0,1191323500544.0,245.24,5873.216,2002-01-01,0.1382601809011713,0.5990579800758618,5.745568935619165e-06
2003,257.3,55.75,139.67,74.73,39.37,61.88,25.57,40.48,0.02,12.07,110.45,42506499.0,1239651844096.0,258.56,6082.834,2003-01-01,0.21667314418966185,0.5428293820443062,6.0531920071798906e-06
2004,276.61,50.13,162.87,79.1,55.46,63.61,28.31,31.08,0.02,15.7,124.24,43234511.0,1289831710720.0,273.58,6327.815,2004-01-01,0.1812298904594917,0.5888073460829326,6.397898197576469e-06
2005,289.46,42.27,189.65,79.06,79.01,57.54,31.58,18.39,0.05,21.18,137.52,43958840.0,1348839669760.0,288.12,6554.313,2005-01-01,0.1460305396255096,0.6551855178608444,6.584796141117463e-06
2006,295.59,52.15,183.31,66.74,90.57,60.13,26.0,25.96,0.12,23.3,127.93,44695400.0,1415738556416.0,292.31,6540.046,2006-01-01,0.17642680740214486,0.6201495314455835,6.613432254773421e-06
2007,301.86,58.3,188.46,72.8,94.8,55.1,20.86,27.31,0.52,27.57,132.48,45516452.0,1481143222272.0,296.11,6505.56,2007-01-01,0.1931358908103094,0.6243291592128801,6.631887740283448e-06
2008,309.79,62.15,188.67,48.71,120.8,58.97,19.16,23.36,2.58,32.95,120.9,46235010.0,1510615285760.0,298.75,6461.554,2008-01-01,0.20061977468607764,0.609025468866006,6.7003337946720465e-06
2009,290.72,74.08,163.88,35.91,107.75,52.76,20.22,26.41,6.06,38.12,103.22,46635128.0,1468765831168.0,282.62,6060.238,2009-01-01,0.25481563015960373,0.5637039075399009,6.233927351930931e-06
2010,297.8,97.77,138.04,25.33,94.85,61.99,17.86,42.3,7.19,44.27,85.84,46840419.0,1480376320000.0,289.47,6179.919,2010-01-01,0.32830758898589657,0.4635325721961047,6.357756961994725e-06
2011,291.54,87.53,146.29,43.98,85.51,57.72,16.8,30.6,9.4,42.92,98.34,46997994.0,1477187469312.0,285.45,6073.664,2011-01-01,0.3002332441517459,0.501783631748645,6.203243483115471e-06
2012,293.95,86.97,145.51,55.07,73.31,61.47,17.13,20.55,11.97,49.47,103.22,47018277.0,1433478627328.0,282.75,6013.619,2012-01-01,0.29586664398707263,0.4950161592107501,6.251824157656819e-06
2013,281.46,111.41,113.32,39.94,57.54,56.73,15.84,36.87,13.1,55.64,80.75,46860345.0,1413362089984.0,274.71,5862.312,2013-01-01,0.39582889220493145,0.4026149364030413,6.0063578277112555e-06
2014,274.44,110.26,106.87,43.81,47.27,57.31,15.79,39.17,13.67,52.01,79.32,46720137.0,1433089474560.0,271.03,5801.139,2014-01-01,0.40176359131321965,0.3894111645532721,5.874126610544828e-06
2015,277.17,97.08,122.89,51.37,52.5,57.2,19.02,28.14,13.86,49.32,91.06,46683633.0,1488098820096.0,277.04,5934.414,2015-01-01,0.3502543565320922,0.4433741025363495,5.93719858949281e-06
2016,270.7,104.63,107.44,36.43,52.83,58.63,18.18,36.4,13.64,48.9,76.59,46732712.0,1533303980032.0,278.37,5956.641,2016-01-01,0.3865164388622091,0.3968969338751385,5.7925163855245544e-06
2017,272.38,87.93,126.41,45.13,64.04,58.04,17.24,18.32,14.4,49.13,89.67,46868543.0,1578931453952.0,281.55,6007.227,2017-01-01,0.322821058814891,0.46409428004993025,5.811573873760061e-06
2018,271.4,103.87,111.76,37.34,58.0,55.77,16.42,34.33,12.74,50.89,78.94,47092764.0,1615001419776.0,282.5,5998.798,2018-01-01,0.38271923360353727,0.4117907148120855,5.763093455291772e-06
2019,270.52,100.99,111.18,12.86,83.71,58.35,14.61,24.65,15.1,55.65,66.73,47435072.0,1647042625536.0,277.38,5847.572,2019-01-01,0.37331805411799496,0.41098624870619554,5.702953291606683e-06
2020,259.47,113.79,87.38,5.52,69.74,58.3,12.12,30.51,20.67,56.44,51.66,47679437.0,1460507901952.0,262.75,5510.761,2020-01-01,0.4385478089952595,0.33676340232011404,5.441968620560684e-06
2021,270.75,125.75,88.44,4.86,71.5,56.56,12.08,29.63,27.1,62.06,52.4,47735610.0,1541122031616.0,271.6,5689.673,2021-01-01,0.4644506001846722,0.3266481994459834,5.671866348832664e-06
2022,287.15,122.91,105.65,7.86,86.1,58.59,11.69,17.59,35.72,62.78,62.35,47828339.0,1625139970048.0,267.35,5589.782,2022-01-01,0.4280341285042661,0.3679261709907714,6.0037627482735705e-06
2023,279.84,144.51,78.46,3.62,64.36,56.87,10.48,25.0,48.59,65.01,47.37,47911535.0,1625139970048.0,265.88,5549.395,2023-01-01,0.5164022298456261,0.28037449971412237,5.840764650934268e-06
2024,280.39,160.41,65.16,2.65,52.39,54.82,10.12,32.63,58.6,62.93,40.98,47910476.0,1625139970048.0,270.08,5637.18,2024-01-01,0.5720960091301401,0.23239059880880203,5.852373497604156e-06
